"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"1","AHR",50,51,54,50,44,52,46,28,0
"2","ARID5B",50,53,50,49,43,46,54,40,0
"3","BACH1",21,27,29,38,20,0,29,28,0
"4","BACH2",46,52,51,54,54,45,50,48,0
"5","BATF",52,51,49,55,45,46,54,35,0
"6","BATF3",6,0,11,0,0,6,9,0,0
"7","BCL6",42,51,46,49,25,48,52,49,18
"8","BHLHE40",47,55,49,51,53,0,49,49,27
"9","CCDC88A",42,48,45,0,49,0,46,47,0
"10","CREM",48,46,51,54,45,33,50,44,12
"11","CUX1",48,56,45,52,41,38,48,44,0
"12","DDIT3",50,52,47,49,46,33,51,32,0
"13","EGR1",2,0,0,5,10,0,6,7,0
"14","EOMES",44,0,44,0,0,0,0,0,0
"15","EPAS1",48,53,48,49,49,0,50,42,0
"16","ESR2",45,50,0,52,44,0,49,45,0
"17","FOS",45,50,33,19,38,0,30,16,0
"18","FOXN3",58,59,58,56,58,54,55,49,0
"19","FOXO1",50,52,50,52,41,41,50,47,0
"20","FOXO3",46,55,48,49,46,0,49,43,0
"21","FOXP1",53,53,51,54,53,51,54,52,0
"22","GABPB1",48,50,46,57,32,0,46,0,0
"23","GATA2",3,0,0,7,0,0,0,0,0
"24","GATA3",52,49,55,49,52,0,50,36,0
"25","GLIS3",49,51,50,49,48,44,47,43,0
"26","HDX",24,0,0,0,0,0,0,34,0
"27","HES4",49,48,44,0,29,11,50,0,0
"28","HIF1A",49,56,50,51,53,48,52,41,0
"29","HIVEP2",50,49,52,52,50,54,51,46,0
"30","HIVEP3",51,54,52,56,53,45,52,35,0
"31","HMGB1",53,50,45,51,49,51,52,50,0
"32","HMGB2",51,55,51,50,52,52,49,51,42
"33","HOPX",54,40,53,0,50,27,50,28,0
"34","HOXB6",6,0,0,2,0,0,0,2,0
"35","ID2",54,54,55,52,51,40,56,40,0
"36","ID3",47,55,45,50,42,0,51,50,0
"37","IKZF1",51,49,50,50,50,53,54,39,0
"38","IKZF3",51,51,52,55,44,28,56,49,0
"39","JUN",41,44,45,50,46,37,48,41,0
"40","JUNB",51,54,48,53,48,47,52,46,0
"41","KLF3",45,44,47,52,43,0,44,38,0
"42","KLF5",3,12,4,5,0,0,0,0,0
"43","KLF6",53,52,50,56,47,46,48,32,0
"44","LCORL",44,50,46,49,36,0,50,25,0
"45","LEF1",52,53,51,51,52,41,53,42,0
"46","MAF",50,54,55,53,50,44,53,42,8
"47","MYB",28,30,19,17,0,48,31,14,8
"48","MYBL1",46,49,45,37,0,0,24,12,0
"49","NCOA1",48,51,46,51,43,0,49,38,0
"50","NFAT5",52,56,53,55,55,55,52,39,0
"51","NFIA",53,47,50,48,51,16,56,25,0
"52","NFIB",4,0,0,0,0,0,2,0,0
"53","NFKB1",49,52,52,53,52,41,52,36,0
"54","NR1D2",14,15,23,26,12,22,17,0,0
"55","NR3C1",51,55,54,59,52,52,57,42,0
"56","NR3C2",48,47,44,46,47,0,45,0,0
"57","NR4A1",46,50,52,53,50,39,48,46,0
"58","NR4A2",53,54,58,54,56,56,56,50,0
"59","NR4A3",50,49,0,0,48,34,47,38,0
"60","NR6A1",39,47,22,37,32,41,45,30,0
